"","Point.Forecast","Lo.68","Hi.68","Lo.95","Hi.95"
"2011 Q2",1.04784686926945,1.04373049505398,1.05196324348493,1.03973396137718,1.05595977716172
"2011 Q3",1.04462377954624,1.04024214333076,1.04900541576172,1.03598807026111,1.05325948883137
"2011 Q4",1.04565577770694,1.04100130773835,1.05031024767554,1.03648234396019,1.0548292114537
"2012 Q1",1.0460114837374,1.04109498493154,1.05092798254325,1.03632162079579,1.05570134667901
"2012 Q2",1.04586232428877,1.04069295336521,1.05103169521234,1.03567407901064,1.05605056956691
"2012 Q3",1.04268396121364,1.03728364099086,1.04808428143642,1.0320405409941,1.05332738143317
"2012 Q4",1.0437519669373,1.03810447557374,1.04939945830086,1.03262140036182,1.05488253351277
"2013 Q1",1.04414423868835,1.03825756312038,1.05003091425632,1.03254226710495,1.05574621027176
"2013 Q2",1.04403184331456,1.03791282330499,1.05015086332413,1.03197194712194,1.05609173950718
"2013 Q3",1.04089473467416,1.03456568316739,1.04722378618092,1.02842089016148,1.05336857918683
"2013 Q4",1.04199595262658,1.0354349456386,1.04855695961456,1.02906495010162,1.05492695515155
"2014 Q1",1.04242195143319,1.03563601650584,1.04920788636053,1.02904764138589,1.05579626148048
"2014 Q2",1.04234346607052,1.03533856500207,1.04934836713898,1.02853759853079,1.05614933361025
"2014 Q3",1.03924440920591,1.03204424333532,1.04644457507649,1.02505369683153,1.05343512158028
"2014 Q4",1.04037626105992,1.03295436991766,1.04779815220218,1.02574855325891,1.05500396886093
"2015 Q1",1.04083336862788,1.03319651986216,1.04847021739359,1.02578200366924,1.05588473358651
"2015 Q2",1.04078616077893,1.03294001471039,1.04863230684747,1.02532229451429,1.05625002704357
"2015 Q3",1.03772220165954,1.02969222871863,1.04575217460046,1.02189603342583,1.05354836989326
"2015 Q4",1.03888230924832,1.03063809910012,1.04712651939651,1.02263390371576,1.05513071478088
"2016 Q1",1.0393681105465,1.03091648734155,1.04781973375146,1.02271091734376,1.05602530374924
"2016 Q2",1.03934975207954,1.03069634628388,1.0480031578752,1.02229486821823,1.05640463594085
"2016 Q3",1.03631816600174,1.02749037399573,1.04514595800775,1.01891958664818,1.05371674535529
