"","Point.Forecast","Lo.68","Hi.68","Lo.95","Hi.95"
"2009 Q4",1.04637476827157,1.04201249776698,1.05073703877616,1.03777722661176,1.05497230993138
"2010 Q1",1.04344979703654,1.03780971076371,1.04908988330938,1.03233382505714,1.05456576901595
"2010 Q2",1.0412699431646,1.03459062595892,1.04794926037028,1.02810576458501,1.05443412174419
"2010 Q3",1.04414817835702,1.03653451587773,1.0517618408363,1.02914251094586,1.05915384576817
"2010 Q4",1.04487057801864,1.03606629270883,1.05367486332845,1.02751832770398,1.06222282833331
"2011 Q1",1.04198122758251,1.03247675100153,1.05148570416349,1.02324897948518,1.06071347567983
"2011 Q2",1.039835147876,1.02967391126302,1.04999638448899,1.01980850005502,1.05986179569699
"2011 Q3",1.04273957492879,1.03190985152843,1.05356929832914,1.02139541527598,1.06408373458159
"2011 Q4",1.04349059659948,1.03177206089109,1.05520913230788,1.02039468843908,1.06658650475989
"2012 Q1",1.04063393100194,1.02838023963301,1.05288762237086,1.01648329157691,1.06478457042696
"2012 Q2",1.03851884185256,1.02574564093924,1.05129204276588,1.01334430788779,1.06369337581734
"2012 Q3",1.04144730321405,1.02811125805191,1.0547833483762,1.01516346690955,1.06773113951855
"2012 Q4",1.04222458855638,1.02814055266532,1.05630862444745,1.01446654714556,1.06998262996721
"2013 Q1",1.03939791377563,1.02486620181467,1.05392962573659,1.01075755347675,1.06803827407451
"2013 Q2",1.03731126095899,1.02233684658768,1.0522856753303,1.00779838429233,1.06682413762564
"2013 Q3",1.04026177687108,1.02478346568076,1.05574008806141,1.00975577658013,1.07076777716204
"2013 Q4",1.04106316188697,1.02492210787894,1.057204215895,1.00925097047857,1.07287535329536
"2014 Q1",1.03826400590272,1.02173221596478,1.05479579584066,1.00568171818053,1.07084629362491
"2014 Q2",1.03620344567587,1.01928010532571,1.05312678602604,1.00284945638737,1.06955743496437
"2014 Q3",1.03917419952291,1.02178509058593,1.05656330845989,1.00490223304231,1.07344616600351
"2014 Q4",1.03999769853905,1.02200435542684,1.05799104165125,1.00453485485625,1.07546054222184
"2015 Q1",1.03722379303843,1.01888098745084,1.05556659862603,1.00107219835142,1.07337538772545
"2015 Q2",1.03518717479514,1.01649031555657,1.05388403403371,0.998337780416229,1.07203656917405
"2015 Q3",1.0381764996601,1.01904070624135,1.05731229307885,1.00046201566878,1.07589098365142
"2015 Q4",1.03902029063307,1.01932355644955,1.05871702481659,1.00020025585376,1.07784032541238
"2016 Q1",1.03626955422407,1.01625534647618,1.05628376197196,0.996823814965258,1.07571529348289
"2016 Q2",1.03425490457931,1.01391586866859,1.05459394049003,0.994168965759449,1.07434084339918
"2016 Q3",1.03726127090788,1.01650325364292,1.05801928817283,0.996349567238282,1.07817297457748
"2016 Q4",1.03812368194019,1.01683841579996,1.05940894808042,0.996172830385218,1.08007453349516
"2017 Q1",1.0353942047484,1.01381741865782,1.05697099083898,0.992868800351011,1.07791960914578
"2017 Q2",1.0333997129344,1.0115218703213,1.0552775555475,0.990280960189732,1.07651846567907
"2017 Q3",1.03642171721554,1.01414031397623,1.05870312045486,0.992507592131511,1.08033584229957
"2017 Q4",1.0373012141828,1.01451974989106,1.06008267847454,0.992401525336471,1.08220090302913
"2018 Q1",1.03459124371746,1.01154002676996,1.05764246066496,0.989159902903809,1.08002258453111
"2018 Q2",1.03261524818322,1.0092829259154,1.05594757045103,0.986629880584742,1.07860061578169
"2018 Q3",1.03565160256256,1.01192798353222,1.0593752215929,0.988895033312657,1.08240817181246
"2018 Q4",1.03654677776027,1.01234564485919,1.06074791066135,0.988849082692395,1.08424447282814
"2019 Q1",1.03385470594504,1.00940253981886,1.05830687207121,0.985662252789955,1.08204715910012
"2019 Q2",1.03189568206003,1.00717956068222,1.05661180343784,0.983183002965291,1.08060836115477
"2019 Q3",1.03494520480916,1.00984775597618,1.06004265364214,0.985480972439952,1.08440943717836
"2019 Q4",1.03585476653504,1.01029890531202,1.06141062775807,0.985487055205365,1.08622247786472
"2020 Q1",1.03317911780748,1.00738863853338,1.05896959708159,0.982349000841529,1.08400923477344
"2020 Q2",1.03123566657874,1.00519625349393,1.05727507966355,0.979914929233827,1.08255640392366
"2020 Q3",1.03429727334985,1.00788477738048,1.06070976931921,0.982241231846428,1.08635331485327
"2020 Q4",1.03522003634467,1.00836558871071,1.06207448397862,0.982292958108447,1.08814711458089
"2021 Q1",1.03255945673642,1.00548501056363,1.05963390290922,0.979198786268641,1.08592012720421
"2021 Q2",1.03063029445532,1.00332027082942,1.05794031808123,0.976805327478396,1.08445526143225
"2021 Q3",1.03370299025654,1.006026796061,1.06137918445208,0.979156342511828,1.08824963800125
"2021 Q4",1.03463786693262,1.00653410498335,1.06274162888189,0.979248531516147,1.09002720234909
"2022 Q1",1.03199111404941,1.00368053839974,1.06030168969909,0.976194172226327,1.0877880558725
"2022 Q2",1.03007506279164,1.00154093199184,1.05860919359144,0.973837519058516,1.08631260652477
"2022 Q3",1.03315793462365,1.00426349290682,1.06205237634048,0.976210258835117,1.09010561041218
"2022 Q4",1.03410392701624,1.00479463262521,1.06341322140727,0.976338623539247,1.09186923049324
"2023 Q1",1.03146986084359,1.00196576708846,1.06097395459872,0.973320629857653,1.08961909182953
"2023 Q2",1.02956583975196,0.999849122530589,1.05928255697333,0.970997551968209,1.08813412753571
"2023 Q3",1.03265804985136,1.0025860335298,1.06273006617293,0.973389507736201,1.09192659196652
"2023 Q4",1.03361424223324,1.0031387226621,1.06408976180439,0.973550440861592,1.0936780436049
